id,app,field,agent_value,evidence_url,human_value
1,Salesforce,category,"""CRM and Sales""",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,auth_methods,"[""OAuth2"", ""Bearer token""]",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,access,"""paid-plan""",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,api_types,"[""REST"", ""SOAP"", ""webhook""]",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,api_breadth,"""broad""",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,mcp,"""none""",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
1,Salesforce,main_blocker,"""Requires a paid enterprise subscription or developer/sandbox organization setup to generate connected apps and API credentials.""",https://help.salesforce.com/s/articleView?id=sf.remoteaccess_authenticate.htm&language=en_US&type=5,
11,Zendesk,category,"""Support and Helpdesk""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,auth_methods,"[""OAuth2"", ""Basic"", ""Bearer token""]",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,access,"""paid-plan""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,api_types,"[""REST""]",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,api_breadth,"""broad""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,mcp,"""none""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
11,Zendesk,main_blocker,"""Zendesk requires a Zendesk account and subscription to access API features, with credentials managed via the Zendesk Admin Center or OAuth client setup.""",https://developer.zendesk.com/api-reference/introduction/security-and-auth/,
21,Slack,category,"""Communications and Messaging""",https://docs.slack.dev/apis/web-api/,
21,Slack,auth_methods,"[""OAuth2"", ""Bearer token""]",https://docs.slack.dev/apis/web-api/,
21,Slack,access,"""self-serve""",https://docs.slack.dev/apis/web-api/,
21,Slack,api_types,"[""REST"", ""webhook""]",https://docs.slack.dev/apis/web-api/,
21,Slack,api_breadth,"""broad""",https://docs.slack.dev/apis/web-api/,
21,Slack,mcp,"""none""",https://docs.slack.dev/apis/web-api/,
21,Slack,main_blocker,"""""",https://docs.slack.dev/apis/web-api/,
31,Google Ads,category,"""Marketing, Ads, Email and Social""",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,auth_methods,"[""OAuth2"", ""Bearer token"", ""API key""]",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,access,"""self-serve""",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,api_types,"[""REST"", ""gRPC"", ""SDK""]",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,api_breadth,"""broad""",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,mcp,"""none""",https://developers.google.com/google-ads/api/rest/auth,
31,Google Ads,main_blocker,"""""",https://developers.google.com/google-ads/api/rest/auth,
41,Shopify,category,"""Ecommerce""",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,auth_methods,"[""OAuth2"", ""Bearer token""]",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,access,"""self-serve""",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,api_types,"[""REST"", ""GraphQL"", ""webhook"", ""SDK""]",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,api_breadth,"""broad""",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,mcp,"""none""",https://shopify.dev/docs/api/usage/authentication,
41,Shopify,main_blocker,"""""",https://shopify.dev/docs/api/usage/authentication,
51,DataForSEO,category,"""Data, SEO and Scraping""",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,auth_methods,"[""Basic""]",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,access,"""self-serve""",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,api_types,"[""REST""]",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,api_breadth,"""moderate""",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,mcp,"""none""",https://docs.dataforseo.com/v3/auth/,
51,DataForSEO,main_blocker,"""""",https://docs.dataforseo.com/v3/auth/,
61,GitHub,category,"""Developer Infra and Data platforms""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,auth_methods,"[""OAuth2"", ""Bearer token"", ""Basic""]",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,access,"""self-serve""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,api_types,"[""REST"", ""webhook"", ""SDK""]",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,api_breadth,"""broad""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,mcp,"""none""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
61,GitHub,main_blocker,"""""",https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api?apiVersion=2026-03-10,
